Name	Height	Weight	Team	No	Position	College
Anthony Davis	208	253	LAL	3	PF	Kentucky
LeBron James	206	250	LAL	23	SF	NULL
Kobe Bryant	198	212	LAL	24	SG	NULL
Shaquille O'Neal	216	325	LAL	32	C	LSU
Larry Bird	206	220	BOS	33	SF	Indiana State
Jayson Tatum	203	210	BOS	0	SF	Duke
Kevin Durant	208	225	BKN	7	SF	Texas
Russell Westbrook	191	200	WAS	4	PG	UCLA
Trae Young	185	180	ATL	11	PG	Oklahoma
Rajon Rondo	185	180	ATL	7	PG	Kentucky
Tacko Fall	226	311	BOS	99	C	UCF
Ray Allen	196	205	BOS	20	SG	Uconn
Carmelo Anthony	201	238	NY	7	SF	Syracuse University
Paul Pierce	201	235	BOS	34	SF	Kansas
Dwight Howard	208	265	LAL	39	C	NULL
Stephen Curry	191	193	GS	30	PG	Davidson
